Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
verona,Helander F.,D,5.0,24.0,2.0,,4.0,,,,,,5.73,5.9,4.0,2015-16
carpi,Zaccardo C.,D,9.0,27.0,1.0,,4.0,,,,,,6.0,6.04,1.0,2015-16
juventus,Pereyra R.,T (C),4.0,13.0,,1.0,,,,,,,5.85,5.92,1.0,2015-16
juventus,Lemina M.,C,4.0,10.0,2.0,,4.0,,,,,,6.15,6.55,4.0,2015-16
empoli,Zielinski P.,T (C),18.0,35.0,5.0,4.0,5.0,1.0,,,,,6.17,6.61,15.5,2015-16
roma,Manolas K.,D,16.0,37.0,2.0,2.0,7.0,,,,,,6.16,6.23,2.5,2015-16
empoli,Zambelli M.,D,4.0,19.0,,,3.0,,,,,,5.78,5.68,-1.5,2015-16
genoa,Gomes B.,A,3.0,,,,,,,,,,,,,2015-16
atalanta,Djimsiti B.,D,3.0,3.0,,,1.0,,,,,,5.17,5.0,-0.5,2015-16
verona,Siligardi L.,T (A),11.0,28.0,2.0,,1.0,,,,,,5.96,6.16,5.5,2015-16
roma,Maicon D.,D,3.0,15.0,1.0,2.0,2.0,1.0,,,,,5.67,5.87,3.0,2015-16
atalanta,Bellini G.,D,5.0,15.0,1.0,,4.0,,1.0,1.0,,,5.83,5.9,1.0,2015-16
frosinone,Dionisi F.,A,20.0,32.0,9.0,3.0,12.0,,1.0,1.0,,,6.16,6.94,24.0,2015-16
carpi,Poli F.,D,3.0,10.0,,,5.0,,,,,,5.9,5.65,-2.5,2015-16
verona,Bianchetti M.,D,5.0,23.0,1.0,,4.0,,,,,,5.62,5.67,1.0,2015-16
roma,Ucan S.,C,4.0,3.0,,,,,,,,,6.0,6.0,,2015-16
milan,Boateng K.,T (C),5.0,11.0,1.0,,1.0,,,,,,5.6,6.0,2.5,2015-16
napoli,Allan M.,C,18.0,35.0,3.0,4.0,4.0,,,,,,6.36,6.67,11.0,2015-16
bologna,Morleo A.,D,4.0,5.0,,,,,,,,,6.0,6.0,,2015-16
sampdoria,Moisander N.,D,4.0,22.0,,,4.0,1.0,,,,,5.7,5.45,-5.0,2015-16
udinese,Felipe,D,8.0,26.0,1.0,1.0,11.0,1.0,,,,,6.02,5.92,-2.5,2015-16
chievo,Radovanovic I.,C,5.0,26.0,,,9.0,,,,,,5.9,5.74,-4.0,2015-16
napoli,Strinic I.,D,3.0,5.0,,,,,,,,,6.0,6.0,,2015-16
bologna,Floccari S.,A,12.0,25.0,6.0,,1.0,,,,,,5.96,6.66,17.5,2015-16
bologna,Donsah G.,C,5.0,20.0,2.0,2.0,2.0,,,,,,6.11,6.47,7.0,2015-16
torino,Immobile C.,A,20.0,13.0,5.0,2.0,2.0,,3.0,2.0,1.0,,6.23,7.23,13.0,2015-16
juventus,Sturaro S.,C,4.0,19.0,1.0,,6.0,,,,,,5.85,5.85,,2015-16
sassuolo,Biondini D.,C,4.0,21.0,,,3.0,,,,,,6.0,5.92,-1.5,2015-16
empoli,Pucciarelli M.,A,18.0,38.0,6.0,1.0,2.0,,,,,,5.89,6.37,18.0,2015-16
carpi,Colombi S.,P,1.0,2.0,-2.0,,,,,,,,6.0,5.0,-2.0,2015-16
palermo,Cionek T.,D,5.0,5.0,,,2.0,,,,,,6.2,6.0,-1.0,2015-16
carpi,Suagher E.,D,4.0,9.0,,,8.0,,,,,,5.94,5.5,-3.5,2015-16
bologna,Diawara A.,C,8.0,34.0,,1.0,9.0,2.0,,,,,6.03,5.86,-5.5,2015-16
